Age,AgeGroup,Gender,MaritalStatus,Education,Education_Label,EducationField,Department,JobRole,JobLevel,BusinessTravel,OverTime,DistanceFromHome,MonthlyIncome,IncomeGroup,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,TenureGroup,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,NumCompaniesWorked,JobSatisfaction,JobSatisfaction_Label,EnvironmentSatisfaction,EnvironmentSatisfaction_Label,WorkLifeBalance,WorkLifeBalance_Label,JobInvolvement,RelationshipSatisfaction,PerformanceRating,PerformanceRating_Label,Attrition,AttritionBinary,AttritionRiskScore,RiskTier,OverTimeFlag
48,46–60,Male,Married,3,Bachelor,Marketing,Research & Development,Manufacturing Director,2,Non-Travel,No,17,5608,Medium,19,0,3,5,4–7 yr,2,0,12,6,3,High,4,Very High,3,Better,3,4,3,Excellent,No,0,0.079,Low Risk,0
39,36–45,Male,Married,4,Master,Medical,Human Resources,Human Resources,1,Non-Travel,No,4,3852,Medium,25,0,3,7,4–7 yr,6,4,16,3,1,Low,4,Very High,3,Better,2,2,3,Excellent,No,0,0.299,Medium Risk,0
34,26–35,Male,Divorced,1,Below College,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Frequently,Yes,7,5707,Medium,14,3,2,15,8–15 yr,5,2,22,5,1,Low,3,High,3,Better,3,2,3,Excellent,No,0,0.366,Medium Risk,1
43,36–45,Male,Single,3,Bachelor,Technical Degree,Research & Development,Research Scientist,1,Travel_Rarely,No,6,4120,Medium,22,1,0,7,4–7 yr,4,1,7,8,4,Very High,2,Medium,3,Better,3,3,3,Excellent,No,0,0.107,Low Risk,0
45,36–45,Male,Divorced,2,College,Marketing,Sales,Sales Executive,2,Non-Travel,No,3,4530,Medium,15,0,2,2,2–3 yr,1,0,11,3,4,Very High,4,Very High,3,Better,2,4,4,Outstanding,No,0,0.162,Low Risk,0
26,26–35,Male,Married,2,College,Life Sciences,Sales,Sales Representative,2,Travel_Rarely,No,3,3179,Medium,22,0,3,7,4–7 yr,3,1,12,9,4,Very High,1,Low,2,Good,3,4,4,Outstanding,No,0,0.204,Low Risk,0
40,36–45,Female,Divorced,1,Below College,Medical,Sales,Sales Representative,3,Travel_Rarely,Yes,6,6114,High,17,0,4,0,0–1 yr,0,0,0,3,2,Medium,1,Low,3,Better,3,3,3,Excellent,Yes,1,0.799,High Risk,1
41,36–45,Female,Single,2,College,Life Sciences,Research & Development,Laboratory Technician,3,Travel_Rarely,No,1,8530,High,12,3,4,2,2–3 yr,1,0,7,9,3,High,4,Very High,3,Better,3,3,3,Excellent,No,0,0.154,Low Risk,0
33,26–35,Female,Married,3,Bachelor,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,3,2219,Low,17,3,2,3,2–3 yr,1,0,9,4,2,Medium,3,High,1,Bad,4,4,3,Excellent,Yes,1,0.694,High Risk,1
47,46–60,Male,Married,3,Bachelor,Life Sciences,Research & Development,Research Director,1,Non-Travel,Yes,4,4107,Medium,22,0,0,1,0–1 yr,0,0,15,2,4,Very High,4,Very High,3,Better,4,2,3,Excellent,Yes,1,0.729,High Risk,1
